,Model A,Model B,Step,Score
147,vit_large_patch14_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.5665599703788757
148,vit_large_patch14_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.5835999846458435
149,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.5831999778747559
150,vit_huge_patch14_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.5479200482368469
151,vit_huge_patch14_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.5479999780654907
152,vit_huge_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.5631999373435974
153,vit_base_patch16_clip_224.laion2b_ft_in12k,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.6276800036430359
154,vit_base_patch16_clip_224.laion2b_ft_in12k,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.6007199883460999
155,vit_large_patch14_clip_224.laion2b_ft_in12k,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.6469599604606628
156,vit_tiny_patch16_224.augreg_in21k,vit_small_patch16_224.augreg_in21k,10,0.5475200414657593
157,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,10,0.5839999914169312
158,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,10,0.5549600124359131
159,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.mae,10,0.36032000184059143
160,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.mae,10,0.48959997296333313
161,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,10,0.4793599843978882
162,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,10,0.5875999927520752
163,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,10,0.5418399572372437
164,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,10,0.516480028629303
165,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.5793600082397461
166,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.5476800203323364
167,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.5243199467658997
168,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,10,0.5557600855827332
169,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,10,0.5312800407409668
170,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.mae,10,0.319599986076355
171,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.mae,10,0.4317600429058075
172,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,10,0.4310399889945984
173,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,10,0.5055199861526489
174,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,10,0.4760800004005432
175,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,10,0.46000000834465027
176,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.5322399735450745
177,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.5135999917984009
178,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.5006400346755981
179,vit_base_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,10,0.5807199478149414
180,vit_base_patch16_224.augreg_in21k,vit_base_patch16_224.mae,10,0.33928000926971436
181,vit_base_patch16_224.augreg_in21k,vit_large_patch16_224.mae,10,0.4626399874687195
182,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,10,0.4632800221443176
183,vit_base_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,10,0.5634400248527527
184,vit_base_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,10,0.5327999591827393
185,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,10,0.509119987487793
186,vit_base_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.5870400667190552
187,vit_base_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.568880021572113
188,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.5486400127410889
189,vit_large_patch16_224.augreg_in21k,vit_base_patch16_224.mae,10,0.3364799916744232
190,vit_large_patch16_224.augreg_in21k,vit_large_patch16_224.mae,10,0.44808000326156616
191,vit_large_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,10,0.4495200216770172
192,vit_large_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,10,0.5344799757003784
193,vit_large_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,10,0.5248799920082092
194,vit_large_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,10,0.5183199644088745
195,vit_large_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.569920003414154
196,vit_large_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.5752000212669373
197,vit_large_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.562239944934845
198,vit_base_patch16_224.mae,vit_large_patch16_224.mae,10,0.44943997263908386
199,vit_base_patch16_224.mae,vit_huge_patch14_224.mae,10,0.4440000057220459
200,vit_base_patch16_224.mae,vit_base_patch16_clip_224.laion2b,10,0.31863999366760254
201,vit_base_patch16_224.mae,vit_large_patch14_clip_224.laion2b,10,0.31216001510620117
202,vit_base_patch16_224.mae,vit_huge_patch14_clip_224.laion2b,10,0.3145599961280823
203,vit_base_patch16_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.32576000690460205
204,vit_base_patch16_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.3213600218296051
205,vit_base_patch16_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.3075999915599823
206,vit_large_patch16_224.mae,vit_huge_patch14_224.mae,10,0.740880012512207
207,vit_large_patch16_224.mae,vit_base_patch16_clip_224.laion2b,10,0.44568002223968506
208,vit_large_patch16_224.mae,vit_large_patch14_clip_224.laion2b,10,0.4334399998188019
209,vit_large_patch16_224.mae,vit_huge_patch14_clip_224.laion2b,10,0.4333600401878357
210,vit_large_patch16_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.4440000355243683
211,vit_large_patch16_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.4232800304889679
212,vit_large_patch16_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.41367998719215393
213,vit_huge_patch14_224.mae,vit_base_patch16_clip_224.laion2b,10,0.4312799870967865
214,vit_huge_patch14_224.mae,vit_large_patch14_clip_224.laion2b,10,0.41815999150276184
215,vit_huge_patch14_224.mae,vit_huge_patch14_clip_224.laion2b,10,0.4241600036621094
216,vit_huge_patch14_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.43247997760772705
217,vit_huge_patch14_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.41704002022743225
218,vit_huge_patch14_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.403359979391098
219,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b,10,0.718000054359436
220,vit_base_patch16_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,10,0.6695200204849243
221,vit_base_patch16_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.6006399989128113
222,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.5843200087547302
223,vit_base_patch16_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.5748800039291382
224,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,10,0.6913599967956543
225,vit_large_patch14_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.5716800093650818
226,vit_large_patch14_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.5852800011634827
227,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.5798400044441223
228,vit_huge_patch14_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,10,0.5446400046348572
229,vit_huge_patch14_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.5496000647544861
230,vit_huge_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.5622400045394897
231,vit_base_patch16_clip_224.laion2b_ft_in12k,vit_large_patch14_clip_224.laion2b_ft_in12k,10,0.6284799575805664
232,vit_base_patch16_clip_224.laion2b_ft_in12k,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.6045600175857544
233,vit_large_patch14_clip_224.laion2b_ft_in12k,vit_huge_patch14_clip_224.laion2b_ft_in12k,10,0.6442399621009827
234,vit_tiny_patch16_224.augreg_in21k,vit_small_patch16_224.augreg_in21k,15,0.5394399762153625
235,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,15,0.5696799755096436
236,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,15,0.5083199739456177
